2025/08/05 14:20:29 Database connected successfully
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] GET    /api/v1/offers/public     --> portaldata-api/internal/modules/offer.(*Handlers).PublicListOffers-fm (3 handlers)
[GIN-debug] POST   /api/v1/offers/public/filter --> portaldata-api/internal/modules/offer.(*Handlers).PublicListOffersWithFilters-fm (3 handlers)
[GIN-debug] POST   /api/v1/metaproducts      --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproduct-fm (4 handlers)
[GIN-debug] GET    /api/v1/metaproducts      --> portaldata-api/internal/modules/metaproduct.(*Handlers).ListMetaproducts-fm (4 handlers)
[GIN-debug] GET    /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).GetMetaproduct-fm (4 handlers)
[GIN-debug] PUT    /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).UpdateMetaproduct-fm (4 handlers)
[GIN-debug] DELETE /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).DeleteMetaproduct-fm (4 handlers)
[GIN-debug] POST   /api/v1/metaproducts/batch --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproducts-fm (4 handlers)
[GIN-debug] POST   /api/v1/products          --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproduct-fm (4 handlers)
[GIN-debug] GET    /api/v1/products          --> portaldata-api/internal/modules/metaproduct.(*Handlers).ListMetaproducts-fm (4 handlers)
[GIN-debug] GET    /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).GetMetaproduct-fm (4 handlers)
[GIN-debug] PUT    /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).UpdateMetaproduct-fm (4 handlers)
[GIN-debug] DELETE /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).DeleteMetaproduct-fm (4 handlers)
[GIN-debug] POST   /api/v1/products/batch    --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproducts-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers            --> portaldata-api/internal/modules/offer.(*Handlers).CreateOffer-fm (4 handlers)
[GIN-debug] PUT    /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).UpdateOffer-fm (4 handlers)
[GIN-debug] DELETE /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).DeleteOffer-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers            --> portaldata-api/internal/modules/offer.(*Handlers).ListOffers-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers/filter     --> portaldata-api/internal/modules/offer.(*Handlers).ListOffersWithFilters-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).GetOffer-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers/wb_stock   --> portaldata-api/internal/modules/offer.(*Handlers).WBStock-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers/batch      --> portaldata-api/internal/modules/offer.(*Handlers).CreateOffers-fm (4 handlers)
[GIN-debug] GET    /api/v1/orders/:id        --> portaldata-api/internal/modules/order.(*Handlers).GetOrder-fm (4 handlers)
[GIN-debug] GET    /api/v1/orders            --> portaldata-api/internal/modules/order.(*Handlers).ListOrders-fm (4 handlers)
[GIN-debug] POST   /api/v1/orders            --> portaldata-api/internal/modules/order.(*Handlers).CreateOrder-fm (4 handlers)
[GIN-debug] PUT    /api/v1/orders/:id/status --> portaldata-api/internal/modules/order.(*Handlers).UpdateOrderStatus-fm (4 handlers)
[GIN-debug] POST   /api/v1/warehouses        --> portaldata-api/internal/modules/warehouse.(*Handlers).CreateWarehouse-fm (4 handlers)
[GIN-debug] PUT    /api/v1/warehouses/:id    --> portaldata-api/internal/modules/warehouse.(*Handlers).UpdateWarehouse-fm (4 handlers)
[GIN-debug] DELETE /api/v1/warehouses/:id    --> portaldata-api/internal/modules/warehouse.(*Handlers).DeleteWarehouse-fm (4 handlers)
[GIN-debug] GET    /api/v1/warehouses        --> portaldata-api/internal/modules/warehouse.(*Handlers).ListWarehouses-fm (4 handlers)
[GIN] 2025/08/05 - 14:22:04 | 200 |   33.790191ms |       127.0.0.1 | GET      "/api/v1/offers/public?page=1&limit=5"
[GIN] 2025/08/05 - 14:22:09 | 200 |    2.306384ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&price_min=100&price_max=200"
[GIN] 2025/08/05 - 14:22:13 | 200 |    3.349017ms |       127.0.0.1 | GET      "/api/v1/offers/public?product_name=бренд"
[GIN] 2025/08/05 - 14:22:18 | 200 |    3.184316ms |       127.0.0.1 | GET      "/api/v1/offers/public?tax_nds=20&units_per_lot=1"
[GIN] 2025/08/05 - 14:22:22 | 200 |    2.282885ms |       127.0.0.1 | GET      "/api/v1/offers/public?vendor_article=BRAND"
[GIN] 2025/08/05 - 14:22:26 | 200 |    2.115472ms |       127.0.0.1 | GET      "/api/v1/offers/public?max_shipping_days=3"
[GIN] 2025/08/05 - 14:22:34 | 200 |    1.638815ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&price_min=100&price_max=400&tax_nds=20&max_shipping_days=5"
[GIN] 2025/08/05 - 14:23:34 | 200 |    1.867291ms |       127.0.0.1 | GET      "/api/v1/offers/public?page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.623779ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.806891ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=buy&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.278773ms |       127.0.0.1 | GET      "/api/v1/offers/public?price_min=100&price_max=200&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.548095ms |       127.0.0.1 | GET      "/api/v1/offers/public?price_min=300&price_max=500&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.172917ms |       127.0.0.1 | GET      "/api/v1/offers/public?product_name=бренд&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.099691ms |       127.0.0.1 | GET      "/api/v1/offers/public?product_name=тест&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.130034ms |       127.0.0.1 | GET      "/api/v1/offers/public?vendor_article=BRAND&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    3.106404ms |       127.0.0.1 | GET      "/api/v1/offers/public?vendor_article=TEST&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.861714ms |       127.0.0.1 | GET      "/api/v1/offers/public?tax_nds=20&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.305474ms |       127.0.0.1 | GET      "/api/v1/offers/public?tax_nds=10&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.020285ms |       127.0.0.1 | GET      "/api/v1/offers/public?units_per_lot=1&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.422705ms |       127.0.0.1 | GET      "/api/v1/offers/public?units_per_lot=10&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    1.693956ms |       127.0.0.1 | GET      "/api/v1/offers/public?max_shipping_days=3&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.066211ms |       127.0.0.1 | GET      "/api/v1/offers/public?max_shipping_days=5&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:35 | 200 |    2.049001ms |       127.0.0.1 | GET      "/api/v1/offers/public?available_lots=5&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:36 | 200 |    1.604354ms |       127.0.0.1 | GET      "/api/v1/offers/public?available_lots=10&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:36 | 200 |    1.856729ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&price_min=100&price_max=400&tax_nds=20&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:36 | 200 |    1.844136ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=buy&max_shipping_days=5&units_per_lot=1&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:36 | 200 |   34.376934ms |       127.0.0.1 | GET      "/api/v1/offers/public?min_latitude=55.7&max_latitude=55.8&min_longitude=37.6&max_longitude=37.7&page=1&limit=5"
[GIN] 2025/08/05 - 14:23:36 | 200 |    1.780229ms |       127.0.0.1 | GET      "/api/v1/offers/public?offer_type=sell&product_name=бренд&max_shipping_days=3&price_min=200&price_max=500&page=1&limit=5"
[GIN] 2025/08/05 - 14:35:20 | 200 |      41.091µs |       127.0.0.1 | GET      "/"
[GIN] 2025/08/05 - 14:35:20 | 200 |    1.928614ms |       127.0.0.1 | GET      "/api/v1/offers/public"
