nohup: ignoring input
2025/07/25 10:23:54 Database connected successfully
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] GET    /api/v1/offers/public     --> portaldata-api/internal/modules/offer.(*Handlers).PublicListOffers-fm (3 handlers)
[GIN-debug] POST   /api/v1/offers/public/filter --> portaldata-api/internal/modules/offer.(*Handlers).PublicListOffersWithFilters-fm (3 handlers)
[GIN-debug] POST   /api/v1/metaproducts      --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproduct-fm (4 handlers)
[GIN-debug] GET    /api/v1/metaproducts      --> portaldata-api/internal/modules/metaproduct.(*Handlers).ListMetaproducts-fm (4 handlers)
[GIN-debug] GET    /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).GetMetaproduct-fm (4 handlers)
[GIN-debug] PUT    /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).UpdateMetaproduct-fm (4 handlers)
[GIN-debug] DELETE /api/v1/metaproducts/:id  --> portaldata-api/internal/modules/metaproduct.(*Handlers).DeleteMetaproduct-fm (4 handlers)
[GIN-debug] POST   /api/v1/metaproducts/batch --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproducts-fm (4 handlers)
[GIN-debug] POST   /api/v1/products          --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproduct-fm (4 handlers)
[GIN-debug] GET    /api/v1/products          --> portaldata-api/internal/modules/metaproduct.(*Handlers).ListMetaproducts-fm (4 handlers)
[GIN-debug] GET    /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).GetMetaproduct-fm (4 handlers)
[GIN-debug] PUT    /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).UpdateMetaproduct-fm (4 handlers)
[GIN-debug] DELETE /api/v1/products/:id      --> portaldata-api/internal/modules/metaproduct.(*Handlers).DeleteMetaproduct-fm (4 handlers)
[GIN-debug] POST   /api/v1/products/batch    --> portaldata-api/internal/modules/metaproduct.(*Handlers).CreateMetaproducts-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers            --> portaldata-api/internal/modules/offer.(*Handlers).CreateOffer-fm (4 handlers)
[GIN-debug] PUT    /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).UpdateOffer-fm (4 handlers)
[GIN-debug] DELETE /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).DeleteOffer-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers            --> portaldata-api/internal/modules/offer.(*Handlers).ListOffers-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers/filter     --> portaldata-api/internal/modules/offer.(*Handlers).ListOffersWithFilters-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers/:id        --> portaldata-api/internal/modules/offer.(*Handlers).GetOffer-fm (4 handlers)
[GIN-debug] GET    /api/v1/offers/wb_stock   --> portaldata-api/internal/modules/offer.(*Handlers).WBStock-fm (4 handlers)
[GIN-debug] POST   /api/v1/offers/batch      --> portaldata-api/internal/modules/offer.(*Handlers).CreateOffers-fm (4 handlers)
[GIN-debug] GET    /api/v1/orders/:id        --> portaldata-api/internal/modules/order.(*Handlers).GetOrder-fm (4 handlers)
[GIN-debug] GET    /api/v1/orders            --> portaldata-api/internal/modules/order.(*Handlers).ListOrders-fm (4 handlers)
[GIN-debug] POST   /api/v1/orders            --> portaldata-api/internal/modules/order.(*Handlers).CreateOrder-fm (4 handlers)
[GIN-debug] PUT    /api/v1/orders/:id/status --> portaldata-api/internal/modules/order.(*Handlers).UpdateOrderStatus-fm (4 handlers)
[GIN-debug] POST   /api/v1/warehouses        --> portaldata-api/internal/modules/warehouse.(*Handlers).CreateWarehouse-fm (4 handlers)
[GIN-debug] PUT    /api/v1/warehouses/:id    --> portaldata-api/internal/modules/warehouse.(*Handlers).UpdateWarehouse-fm (4 handlers)
[GIN-debug] DELETE /api/v1/warehouses/:id    --> portaldata-api/internal/modules/warehouse.(*Handlers).DeleteWarehouse-fm (4 handlers)
[GIN-debug] GET    /api/v1/warehouses        --> portaldata-api/internal/modules/warehouse.(*Handlers).ListWarehouses-fm (4 handlers)
[GIN] 2025/07/25 - 10:24:39 | 200 |    2.281975ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:24:39 | 200 |    1.346008ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:24:39 | 200 |     1.30105ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:24:39 | 200 |    2.536026ms |       127.0.0.1 | POST     "/api/v1/offers/public/filter"
[GIN] 2025/07/25 - 10:24:39 | 400 |     275.714µs |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:24:39 | 400 |     237.381µs |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:25:43 | 200 |    2.083009ms |       127.0.0.1 | POST     "/api/v1/offers/filter"
[GIN] 2025/07/25 - 10:28:28 | 200 |      63.466µs |       127.0.0.1 | GET      "/"
[GIN] 2025/07/25 - 10:28:28 | 200 |    3.160856ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/07/25 - 10:28:28 | 201 |  214.179191ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/07/25 - 10:28:29 | 201 |   98.654904ms |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/07/25 - 10:28:29 | 200 |    2.208173ms |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/07/25 - 10:28:29 | 200 |     919.505µs |       127.0.0.1 | GET      "/api/v1/products/272"
[GIN] 2025/07/25 - 10:28:29 | 200 |   91.375116ms |       127.0.0.1 | PUT      "/api/v1/products/272"
[GIN] 2025/07/25 - 10:28:29 | 400 |     611.539µs |       127.0.0.1 | POST     "/api/v1/products"
[GIN] 2025/07/25 - 10:28:29 | 403 |     860.675µs |       127.0.0.1 | PUT      "/api/v1/products/272"
[GIN] 2025/07/25 - 10:28:29 | 403 |     920.136µs |       127.0.0.1 | DELETE   "/api/v1/products/272"
[GIN] 2025/07/25 - 10:28:29 | 201 |  143.729095ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/07/25 - 10:28:29 | 201 |  155.749481ms |       127.0.0.1 | POST     "/api/v1/warehouses"
[GIN] 2025/07/25 - 10:28:29 | 200 |    2.289857ms |       127.0.0.1 | GET      "/api/v1/warehouses"
[GIN] 2025/07/25 - 10:28:29 | 403 |    1.090226ms |       127.0.0.1 | PUT      "/api/v1/warehouses/122"
[GIN] 2025/07/25 - 10:28:29 | 403 |    1.144244ms |       127.0.0.1 | DELETE   "/api/v1/warehouses/122"
[GIN] 2025/07/25 - 10:28:29 | 201 |  255.999906ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/07/25 - 10:28:30 | 201 |  284.284553ms |       127.0.0.1 | POST     "/api/v1/offers"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.829567ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.417272ms |       127.0.0.1 | GET      "/api/v1/offers?filter=my"
[GIN] 2025/07/25 - 10:28:30 | 200 |    3.319278ms |       127.0.0.1 | GET      "/api/v1/offers?filter=others"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.918099ms |       127.0.0.1 | GET      "/api/v1/offers?filter=all"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.598537ms |       127.0.0.1 | GET      "/api/v1/offers"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.348335ms |       127.0.0.1 | GET      "/api/v1/offers?filter=invalid"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.777831ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/07/25 - 10:28:30 | 403 |    1.122404ms |       127.0.0.1 | PUT      "/api/v1/offers/227"
[GIN] 2025/07/25 - 10:28:30 | 403 |    1.031869ms |       127.0.0.1 | DELETE   "/api/v1/offers/227"
[GIN] 2025/07/25 - 10:28:30 | 201 |  157.997217ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 200 |    2.059349ms |       127.0.0.1 | GET      "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 200 |    5.190336ms |       127.0.0.1 | GET      "/api/v1/orders/82"
[GIN] 2025/07/25 - 10:28:30 | 200 |  101.867901ms |       127.0.0.1 | PUT      "/api/v1/orders/82/status"
[GIN] 2025/07/25 - 10:28:30 | 200 |    3.094233ms |       127.0.0.1 | GET      "/api/v1/offers/public"
[GIN] 2025/07/25 - 10:28:30 | 401 |      41.897µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/07/25 - 10:28:30 | 401 |     760.152µs |       127.0.0.1 | GET      "/api/v1/products"
[GIN] 2025/07/25 - 10:28:30 | 404 |    1.070294ms |       127.0.0.1 | GET      "/api/v1/products/999999"
[GIN] 2025/07/25 - 10:28:30 | 404 |    1.283374ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 400 |    1.512506ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 400 |    1.399397ms |       127.0.0.1 | POST     "/api/v1/orders"
[GIN] 2025/07/25 - 10:28:30 | 201 |  151.907832ms |       127.0.0.1 | POST     "/api/v1/products/batch"
[GIN] 2025/07/25 - 10:28:31 | 201 |  275.387613ms |       127.0.0.1 | POST     "/api/v1/offers/batch"
